variant,seed,family,n,NMSE,PSNR,SSIM
G01_generic_film_scalar_Pcyc,2,small_rect_edge,10,1.0175242872436403,29.513722573096896,0.44802655403063973
R00_rsbfilm_sincos_env_absPcyc,0,L-shape,20,0.9886342285656984,28.343545472551558,0.3979912577702331
R00_rsbfilm_sincos_env_absPcyc,0,cross,15,0.9976918624824214,29.984504696526013,0.484256324197058
R00_rsbfilm_sincos_env_absPcyc,0,double-line,15,0.9823512842137229,27.47643197213831,0.3552388579891129
R00_rsbfilm_sincos_env_absPcyc,0,line,20,1.0025133765318892,30.661911809539657,0.5198763499105459
R00_rsbfilm_sincos_env_absPcyc,0,point_cluster,20,1.0825868233647236,33.65531162336058,0.6790715794112052
R00_rsbfilm_sincos_env_absPcyc,0,small_rect_edge,10,1.0040228151210904,29.57212068176269,0.45761223688022284
R00_rsbfilm_sincos_env_absPcyc,1,L-shape,20,0.9946151062926685,28.316703982241997,0.3757577002301354
R00_rsbfilm_sincos_env_absPcyc,1,cross,15,0.9946895798736484,29.996509556059493,0.47030403292533507
R00_rsbfilm_sincos_env_absPcyc,1,double-line,15,0.9959888775920545,27.41592987890873,0.32711941616716295
R00_rsbfilm_sincos_env_absPcyc,1,line,20,0.9985920065474,30.675636751588268,0.5075467772366072
R00_rsbfilm_sincos_env_absPcyc,1,point_cluster,20,1.0006509860989847,33.99068899571368,0.6998865469826004
R00_rsbfilm_sincos_env_absPcyc,1,small_rect_edge,10,0.997201645844686,29.601321119063442,0.44925753650312644
R00_rsbfilm_sincos_env_absPcyc,2,L-shape,20,0.987017150324735,28.350047861670483,0.3816976624967055
R00_rsbfilm_sincos_env_absPcyc,2,cross,15,0.9847281671995517,30.040259575472366,0.47652928468894407
R00_rsbfilm_sincos_env_absPcyc,2,double-line,15,0.9868061347081365,27.456208246424122,0.3339833114437252
R00_rsbfilm_sincos_env_absPcyc,2,line,20,0.9857842349939295,30.731496689196792,0.5139572648113783
R00_rsbfilm_sincos_env_absPcyc,2,point_cluster,20,0.9904775057096822,34.034993800943575,0.7030279263228334
R00_rsbfilm_sincos_env_absPcyc,2,small_rect_edge,10,0.9894498988369002,29.635270155084896,0.4541823091833671
R01_rsbfilm_env_absDelta,0,L-shape,20,1.0104901558925208,28.2482196520511,0.379696372575811
R01_rsbfilm_env_absDelta,0,cross,15,1.0176904678916938,29.89782627188644,0.4718746615657294
R01_rsbfilm_env_absDelta,0,double-line,15,1.0064081079221265,27.370962400835985,0.3341280870134895
R01_rsbfilm_env_absDelta,0,line,20,1.023623901870732,30.569072014705036,0.5067666478782292
R01_rsbfilm_env_absDelta,0,point_cluster,20,1.0715947753018817,33.69643144526704,0.6864790557332345
R01_rsbfilm_env_absDelta,0,small_rect_edge,10,1.017553211532875,29.513664003150655,0.44870297227668354
R01_rsbfilm_env_absDelta,1,L-shape,20,0.994027027721984,28.319276586235066,0.375900223282983
R01_rsbfilm_env_absDelta,1,cross,15,0.9934146609106762,30.002083320736283,0.4708841625922799
R01_rsbfilm_env_absDelta,1,double-line,15,0.9957604616695034,27.416926715295794,0.32675296478618954
R01_rsbfilm_env_absDelta,1,line,20,0.9976140679180606,30.67987997989069,0.5078130449088926
R01_rsbfilm_env_absDelta,1,point_cluster,20,0.9989302931630952,33.998124678401226,0.7002317015278641
R01_rsbfilm_env_absDelta,1,small_rect_edge,10,0.9962129989972546,29.605670285069806,0.449812767806432
R01_rsbfilm_env_absDelta,2,L-shape,20,0.9919177859066458,28.32850507279817,0.3791221751266029
R01_rsbfilm_env_absDelta,2,cross,15,0.9919217309962257,30.00862992477499,0.47311211966579875
R01_rsbfilm_env_absDelta,2,double-line,15,0.9919698743830334,27.433486410096993,0.3309138334796391
R01_rsbfilm_env_absDelta,2,line,20,0.9922402206477215,30.70309531638095,0.5109971065225205
R01_rsbfilm_env_absDelta,2,point_cluster,20,0.9960305035858534,34.010647780728604,0.7011901065136544
R01_rsbfilm_env_absDelta,2,small_rect_edge,10,0.9933594247092673,29.61805775076642,0.4521341949712648
R02_rsbfilm_env_maxPcycDelta,0,L-shape,20,1.0081882698239704,28.25806139059963,0.38083931189336245
R02_rsbfilm_env_maxPcycDelta,0,cross,15,1.0157655849085687,29.905905779761035,0.47156950778239
R02_rsbfilm_env_maxPcycDelta,0,double-line,15,1.0050183013434328,27.376909239809326,0.335260350966242
R02_rsbfilm_env_maxPcycDelta,0,line,20,1.0203114685883163,30.58279927714171,0.5070441566359435
R02_rsbfilm_env_maxPcycDelta,0,point_cluster,20,1.0630204789051994,33.73052153448299,0.6859144713387685
R02_rsbfilm_env_maxPcycDelta,0,small_rect_edge,10,1.0153266088734254,29.523150243965592,0.44907990148803856
R02_rsbfilm_env_maxPcycDelta,1,L-shape,20,0.9923990653324897,28.326391434515415,0.37676127493107653
R02_rsbfilm_env_maxPcycDelta,1,cross,15,0.9923915389163669,30.006578939629218,0.4711980329768791
R02_rsbfilm_env_maxPcycDelta,1,double-line,15,0.994367916845545,27.4230354559975,0.32776214433915435
R02_rsbfilm_env_maxPcycDelta,1,line,20,0.9976814007563,30.67973010809009,0.508000892368573
R02_rsbfilm_env_maxPcycDelta,1,point_cluster,20,1.0022118858828701,33.984148169238935,0.6995007860931655
R02_rsbfilm_env_maxPcycDelta,1,small_rect_edge,10,0.9951786012783159,29.61016640976204,0.45023212853052996
R02_rsbfilm_env_maxPcycDelta,2,L-shape,20,0.9907625524763206,28.333594068021974,0.37836620867103354
R02_rsbfilm_env_maxPcycDelta,2,cross,15,0.9927935351637357,30.004823494492424,0.4720588205468846
R02_rsbfilm_env_maxPcycDelta,2,double-line,15,0.9913377882815188,27.436281812071194,0.3301799765483105
R02_rsbfilm_env_maxPcycDelta,2,line,20,0.9933747183941689,30.69818228580786,0.5098744591429516
R02_rsbfilm_env_maxPcycDelta,2,point_cluster,20,0.9967097043596084,34.007775111794295,0.7010353072609176
R02_rsbfilm_env_maxPcycDelta,2,small_rect_edge,10,0.9930584699355995,29.61941111195258,0.4519464549227303
R03_rsbfilm_env_avgPcycDelta,0,L-shape,20,1.01293480652636,28.237897042683407,0.38075613845882594
R03_rsbfilm_env_avgPcycDelta,0,cross,15,1.0237034053202485,29.87253368677826,0.46787046754915507
R03_rsbfilm_env_avgPcycDelta,0,double-line,15,1.0079665531074007,27.364346338387428,0.3376495121316733
R03_rsbfilm_env_avgPcycDelta,0,line,20,1.0293446209350947,30.545496637395395,0.5026070891123184
R03_rsbfilm_env_avgPcycDelta,0,point_cluster,20,1.0909407236430024,33.62027821715621,0.6709663483251808
R03_rsbfilm_env_avgPcycDelta,0,small_rect_edge,10,1.021127192145206,29.498490219772947,0.4459674243429744
R03_rsbfilm_env_avgPcycDelta,1,L-shape,20,0.9888695343587728,28.341891142426533,0.381005969108415
R03_rsbfilm_env_avgPcycDelta,1,cross,15,0.9866167342418031,30.03200083668739,0.47637048658637304
R03_rsbfilm_env_avgPcycDelta,1,double-line,15,0.9913450482654337,27.436285432512687,0.33212774573581555
R03_rsbfilm_env_avgPcycDelta,1,line,20,0.9932412073472408,30.699405847160754,0.5118743004726378
R03_rsbfilm_env_avgPcycDelta,1,point_cluster,20,1.0001926900437987,33.99295125305269,0.7015096709114188
R03_rsbfilm_env_avgPcycDelta,1,small_rect_edge,10,0.9915408339152405,29.62612767689594,0.454409685048789
R03_rsbfilm_env_avgPcycDelta,2,L-shape,20,0.9821130267669688,28.371689579446162,0.38508465252325974
R03_rsbfilm_env_avgPcycDelta,2,cross,15,0.9824180365583963,30.050444783610725,0.47808214535191385
R03_rsbfilm_env_avgPcycDelta,2,double-line,15,0.9834745398700715,27.470935623662335,0.3364551142117895
R03_rsbfilm_env_avgPcycDelta,2,line,20,0.981690654686364,30.749587857744036,0.5159918936821963
R03_rsbfilm_env_avgPcycDelta,2,point_cluster,20,0.9905837824155643,34.03452262957275,0.7030241432760588
R03_rsbfilm_env_avgPcycDelta,2,small_rect_edge,10,0.9847125731458866,29.65617046907488,0.45705001637401443
R04_rsbfilm_env_productPcycDelta,0,L-shape,20,1.0069603346847718,28.263409230477713,0.3818084454007228
R04_rsbfilm_env_productPcycDelta,0,cross,15,1.013223226865785,29.916873175711384,0.47390173100454624
R04_rsbfilm_env_productPcycDelta,0,double-line,15,1.0033506083191626,27.38418891573581,0.33598133541996295
R04_rsbfilm_env_productPcycDelta,0,line,20,1.0195726569213794,30.586259146123258,0.5086141870492354
R04_rsbfilm_env_productPcycDelta,0,point_cluster,20,1.066478322960624,33.71692101484949,0.6875236675389718
R04_rsbfilm_env_productPcycDelta,0,small_rect_edge,10,1.0154300390484479,29.522731155260782,0.4496926693068043
R04_rsbfilm_env_productPcycDelta,1,L-shape,20,0.982708175126423,28.369067620513214,0.38586235389493
R04_rsbfilm_env_productPcycDelta,1,cross,15,0.9800099399712702,30.061141661987328,0.48019236573484186
R04_rsbfilm_env_productPcycDelta,1,double-line,15,0.9843807051994238,27.4669737365184,0.33775689663761377
R04_rsbfilm_env_productPcycDelta,1,line,20,0.9870950084816836,30.72626506883642,0.515074332955159
R04_rsbfilm_env_productPcycDelta,1,point_cluster,20,0.9941608576571813,34.019117424325216,0.7030811466631578
R04_rsbfilm_env_productPcycDelta,1,small_rect_edge,10,0.9875601710584834,29.6436269119961,0.456732159822847
R04_rsbfilm_env_productPcycDelta,2,L-shape,20,0.9937958375234628,28.32028844327079,0.37770481931508304
R04_rsbfilm_env_productPcycDelta,2,cross,15,0.9928328118909381,30.004631184835944,0.47244185201714595
R04_rsbfilm_env_productPcycDelta,2,double-line,15,0.9942879662962021,27.423343814177805,0.32957733167279524
R04_rsbfilm_env_productPcycDelta,2,line,20,0.9944399079592904,30.693456225401018,0.5098340784002982
R04_rsbfilm_env_productPcycDelta,2,point_cluster,20,0.9968133226435789,34.00723612050331,0.7010718231704194
R04_rsbfilm_env_productPcycDelta,2,small_rect_edge,10,0.9939048605934179,29.615689641370647,0.45198186775181204
R05_rsbfilm_env_softPcyc,0,L-shape,20,1.0051468426922259,28.271390163889983,0.38587233857990266
R05_rsbfilm_env_softPcyc,0,cross,15,1.0126647871478769,29.919493612681183,0.47521370542939706
R05_rsbfilm_env_softPcyc,0,double-line,15,1.0007641800480473,27.395436957109883,0.34131937050335837
R05_rsbfilm_env_softPcyc,0,line,20,1.0201283685831257,30.58472419280339,0.5095342864692649
