dataset,sample_id,family,model,NMSE,PSNR,SSIM,runtime,speedup_vs_BP
Main Test,double_line_test_0010,double-line,Baseline-Ours,0.8069198883162025,27.27223923049472,0.44629179444960937,0.5139416624745354,3.8409434157443147
Main Test,double_line_test_0010,double-line,Ours-PC-P1,0.7860230841169998,27.386190378359903,0.47063420272872736,0.5209859681781381,3.7890096185532713
Main Test,double_line_test_0010,double-line,Ours-PC-P2A,0.8037400922475675,27.289387143888902,0.4456958071337463,0.5173558301758021,3.8155960161644726
Main Test,double_line_test_0011,double-line,Baseline-Ours,0.6903405492390382,29.591564541079485,0.590506510008032,0.3156724363518879,6.253383625670009
Main Test,double_line_test_0011,double-line,Ours-PC-P1,0.7056309016834366,29.49642239139489,0.5775003949511793,0.3191419900394976,6.185399935351488
Main Test,double_line_test_0011,double-line,Ours-PC-P2A,0.712355568525756,29.45522985575558,0.5705516126703098,0.3190231279004365,6.187704501393777
Main Test,double_line_test_0012,double-line,Baseline-Ours,0.5939932800750025,32.91096003022186,0.741898417503229,0.4753655782854185,4.152637327419224
Main Test,double_line_test_0012,double-line,Ours-PC-P1,0.577400010957918,33.03400702457403,0.7499065940110312,0.4784436780028045,4.1259210546966045
Main Test,double_line_test_0012,double-line,Ours-PC-P2A,0.5802707899379747,33.01246824139332,0.7440913432219081,0.4790642869193107,4.120576086463194
Main Test,double_line_test_0013,double-line,Baseline-Ours,0.8038367766280496,25.960720231612584,0.4095470439635944,0.4676292832894251,4.221337104196046
Main Test,double_line_test_0013,double-line,Ours-PC-P1,0.8047679889104955,25.955692239646858,0.421382262930871,0.4705914920195937,4.19476526463862
Main Test,double_line_test_0013,double-line,Ours-PC-P2A,0.8166499810974482,25.892039489367853,0.3957512585259963,0.4703657578211278,4.196778383066186
Main Test,double_line_test_0014,double-line,Baseline-Ours,0.8436647269121138,26.516269028080846,0.40679036619551284,0.35330100925173613,5.5873625969511815
Main Test,double_line_test_0014,double-line,Ours-PC-P1,0.8326283760861962,26.573455954742087,0.4086985653758164,0.359211552888155,5.49542693904639
Main Test,double_line_test_0014,double-line,Ours-PC-P2A,0.8465115210980693,26.501639465817497,0.3856539219145889,0.35595802194438875,5.545656293332967
Main Test,small_rect_edge_test_0000,small_rect_edge,Baseline-Ours,0.7016073588542429,31.427926825001286,0.6471040070217932,0.2028651855373755,9.730702877032412
Main Test,small_rect_edge_test_0000,small_rect_edge,Ours-PC-P1,0.6902592038800882,31.498746106683498,0.6507043501911356,0.20666365209035575,9.55185309362088
