dataset,family,baseline_nmse,pc_nmse,baseline_psnr,pc_psnr,baseline_ssim,pc_ssim
Unseen-Parameter OOD,line,0.5506339277272164,0.5490655126299608,28.91424739313922,28.92663544917895,0.6179479318550571,0.6247188205458325
Unseen-Parameter OOD,line,0.5654304419943907,0.5834453301501408,29.725279932875864,29.589070028547233,0.65568064305139,0.6521590988686091
Unseen-Parameter OOD,line,0.5750511849227534,0.6026070505034311,28.75519645998006,28.551919362897173,0.6004541494067843,0.5813902626204
Unseen-Parameter OOD,line,0.5772059428740088,0.5919820907020027,29.244133653331463,29.13435588169647,0.6138645961256846,0.6062534639262445
Unseen-Parameter OOD,line,0.5898669685313154,0.6018700296095663,29.43839637017422,29.35091015649221,0.610600895723267,0.6024006403379067
Unseen-Parameter OOD,line,0.5976580780691084,0.6230087469659049,28.570165210812526,28.389751697584998,0.5792748354738826,0.5604085158141435
Unseen-Parameter OOD,line,0.6056789419596565,0.6073266015518844,29.693027443435916,29.681229199575863,0.6483640790597779,0.647037508613218
Unseen-Parameter OOD,line,0.6198986185989034,0.6244440369191081,30.05529223811889,30.023563714829976,0.6299782418430131,0.6259533478787748
Unseen-Parameter OOD,line,0.626167155646502,0.6432552415020383,28.233172682404707,28.116242466049954,0.5545830778737466,0.5421390671955026
Unseen-Parameter OOD,line,0.6308371980810635,0.6503904914050884,29.960729583959665,29.82816030941795,0.6360482501790755,0.6189894701496934
Unseen-Parameter OOD,line,0.6333154460518152,0.6675346072244196,29.45702307400865,29.228486338689997,0.6365946264225298,0.6041532205872603
Unseen-Parameter OOD,line,0.6393629847698267,0.6356800255404049,30.003660256681766,30.02874929447758,0.6193498654814534,0.6207114652401142
Unseen-Parameter OOD,line,0.6428623527049083,0.6588569702844324,28.69715732971295,28.59042599274161,0.5881610748533903,0.5713475685989992
Unseen-Parameter OOD,line,0.6434805512524374,0.6547154646895506,28.952421670006018,28.877249726152495,0.571998059124948,0.5630197097068234
Unseen-Parameter OOD,line,0.6472758524125758,0.6703768007325536,29.56497220547986,29.41267646451709,0.6187166118660196,0.6029743860609614
Unseen-Parameter OOD,line,0.6478507017025171,0.6304543081437441,28.47192923118922,28.590142467713104,0.5899093940780387,0.6075732429454921
