variant,sample_id,bin,nmse,ssim,mae,boundary_band_m
S03_concat_Mshell,double_line_test_0001,large,1.0,0.5630233433520101,0.7935860753059387,
S04_concat_Mshell_delta,double_line_test_0001,small,0.6290087504355033,0.7079509058398694,0.6301811337471008,
S04_concat_Mshell_delta,double_line_test_0001,medium,0.6087619226757338,0.7462789636273681,0.6386260986328125,
S04_concat_Mshell_delta,double_line_test_0001,large,0.639315502833365,0.7267723325338435,0.6287842392921448,
S05_concat_Mshell_delta_Pcyc,double_line_test_0001,small,1.0,0.5207811642873525,0.8261191844940186,
S05_concat_Mshell_delta_Pcyc,double_line_test_0001,medium,1.0,0.5705486784880075,0.8406451344490051,
S05_concat_Mshell_delta_Pcyc,double_line_test_0001,large,1.0,0.5630233433520101,0.7935860753059387,
S06_geometry_branch_bottleneck_concat,double_line_test_0001,small,0.6512062295881691,0.6961853276881868,0.6459332704544067,
S06_geometry_branch_bottleneck_concat,double_line_test_0001,medium,0.6645203303868525,0.7212164616670783,0.6695676445960999,
S06_geometry_branch_bottleneck_concat,double_line_test_0001,large,0.6906604669234696,0.7034188355667612,0.6540594100952148,
S07_generic_film_middeep,double_line_test_0001,small,0.7959392775276237,0.6233537415117575,0.7216322422027588,
S07_generic_film_middeep,double_line_test_0001,medium,0.8017751665602653,0.6594815762061794,0.7414844036102295,
S07_generic_film_middeep,double_line_test_0001,large,0.819620597712536,0.6447821434549699,0.7144047021865845,
S08_rsbfilm_middeep_default,double_line_test_0001,small,0.800938617699871,0.6208264784719116,0.7242527604103088,
S08_rsbfilm_middeep_default,double_line_test_0001,medium,0.8070606211642825,0.6570895670704748,0.7442384362220764,
S08_rsbfilm_middeep_default,double_line_test_0001,large,0.824256406618166,0.6426570914419161,0.7165164947509766,
S01_ref3,line_test_0001,small,0.4102827891971716,0.8239109550997957,0.42487168312072754,
S01_ref3,line_test_0001,medium,0.6130332045625579,0.7087298614146552,0.6307622194290161,
S01_ref3,line_test_0001,large,0.43365268910296223,0.8272756795596043,0.46898704767227173,
S02_plain_residual_unet,line_test_0001,small,0.39393375248547624,0.8320422770796008,0.416229248046875,
S02_plain_residual_unet,line_test_0001,medium,0.5809030245196033,0.7253440277964622,0.6126357316970825,
S02_plain_residual_unet,line_test_0001,large,0.40895899849322614,0.8382651208264439,0.4548288881778717,
S03_concat_Mshell,line_test_0001,small,0.7735005838221968,0.6120015314993164,0.7047339677810669,
S03_concat_Mshell,line_test_0001,medium,0.9720514420240847,0.5182926224756377,0.8240804076194763,
S03_concat_Mshell,line_test_0001,large,0.9243134886129052,0.5854627115356198,0.7749301195144653,
S04_concat_Mshell_delta,line_test_0001,small,0.42400909610664533,0.8162047032160177,0.43393802642822266,
S04_concat_Mshell_delta,line_test_0001,medium,0.6563283937494977,0.686342532076727,0.654556393623352,
S04_concat_Mshell_delta,line_test_0001,large,0.4713735727608667,0.8102303489614687,0.4891338646411896,
S05_concat_Mshell_delta_Pcyc,line_test_0001,small,0.8750356690666862,0.5517422168586325,0.7745233774185181,
S05_concat_Mshell_delta_Pcyc,line_test_0001,medium,1.0,0.5038021778332354,0.8385018110275269,
S05_concat_Mshell_delta_Pcyc,line_test_0001,large,0.9861173880184454,0.5553898938893665,0.8092600703239441,
S06_geometry_branch_bottleneck_concat,line_test_0001,small,0.4506284424221755,0.7983359188405909,0.4538585841655731,
S06_geometry_branch_bottleneck_concat,line_test_0001,medium,0.6890694037524489,0.6680930198462354,0.6766008734703064,
S06_geometry_branch_bottleneck_concat,line_test_0001,large,0.4945125553424094,0.7971947066226673,0.5038722157478333,
S07_generic_film_middeep,line_test_0001,small,0.5163250741337675,0.7632763379687922,0.5023048520088196,
S07_generic_film_middeep,line_test_0001,medium,0.8011158616137188,0.6095139685498809,0.7346463799476624,
S07_generic_film_middeep,line_test_0001,large,0.5956881518645971,0.7484163758426967,0.5711384415626526,
S08_rsbfilm_middeep_default,line_test_0001,small,0.5203014331087202,0.7609781664640528,0.5054808855056763,
S08_rsbfilm_middeep_default,line_test_0001,medium,0.8061830938086787,0.606791663880268,0.7373818159103394,
S08_rsbfilm_middeep_default,line_test_0001,large,0.6022051620990906,0.745277362678739,0.5754088759422302,
S01_ref3,point_cluster_test_0001,small,0.35997058068641075,0.9252600397869559,0.4452511966228485,
S01_ref3,point_cluster_test_0001,medium,0.2859294879934755,0.9484913854602276,0.3795856535434723,
S01_ref3,point_cluster_test_0001,large,0.2938436057850365,0.9456299404889184,0.36144688725471497,
S02_plain_residual_unet,point_cluster_test_0001,small,0.3341869957198349,0.9308674450022539,0.42885592579841614,
S02_plain_residual_unet,point_cluster_test_0001,medium,0.27075118424858735,0.9514037961539142,0.37140050530433655,
S02_plain_residual_unet,point_cluster_test_0001,large,0.2755441330562166,0.9492245888602485,0.35125988721847534,
S03_concat_Mshell,point_cluster_test_0001,small,1.0,0.7853224709389165,0.7427684664726257,
S03_concat_Mshell,point_cluster_test_0001,medium,1.0,0.8059163188822306,0.7648921012878418,
S03_concat_Mshell,point_cluster_test_0001,large,1.0,0.8032215607954991,0.7624809145927429,
S04_concat_Mshell_delta,point_cluster_test_0001,small,0.37853749114093493,0.9212094121384506,0.45628952980041504,
S04_concat_Mshell_delta,point_cluster_test_0001,medium,0.2950491045679883,0.9467853587688665,0.38549429178237915,
S04_concat_Mshell_delta,point_cluster_test_0001,large,0.3044648411042927,0.9435486193341732,0.36849889159202576,
S05_concat_Mshell_delta_Pcyc,point_cluster_test_0001,small,1.0,0.7853224709389165,0.7427684664726257,
S05_concat_Mshell_delta_Pcyc,point_cluster_test_0001,medium,1.0,0.8059163188822306,0.7648921012878418,
