variant,sample_id,family,nmse,psnr,ssim,runtime_per_sample
S01_ref3,double_line_test_0003,double-line,2.032300334940617,22.547409483099422,0.18892443253079708,0.0
S02_plain_residual_unet,double_line_test_0003,double-line,2.2624184186416,22.081559147657774,0.1115312907612915,0.00090798699966399
S03_concat_Mshell,double_line_test_0003,double-line,8.532235153536009,16.316660294111607,0.001587254969212653,0.0009350350010208786
S04_concat_Mshell_delta,double_line_test_0003,double-line,1.8988047857769539,22.84248509684144,0.2063753396112148,0.000938147000852041
S05_concat_Mshell_delta_Pcyc,double_line_test_0003,double-line,8.00628967785645,16.59297544577177,0.001932333716933808,0.0009522979999019299
S06_geometry_branch_bottleneck_concat,double_line_test_0003,double-line,1.7655802460721057,23.15841350365539,0.20407161201971247,0.0013932269976066891
S07_generic_film_middeep,double_line_test_0003,double-line,1.8732651689427906,22.901295692501957,0.10395790355364774,0.0017554519981786143
S08_rsbfilm_middeep_default,double_line_test_0003,double-line,1.8511454333746247,22.95288276873185,0.10606068708674254,0.0019105079991277307
S01_ref3,line_test_0003,line,20.815884979731333,20.72716650864688,0.03983880943284683,0.0
S02_plain_residual_unet,line_test_0003,line,22.558661005744195,20.377981970480107,0.018765569656882888,0.0009615130002202932
S03_concat_Mshell,line_test_0003,line,64.50670579450703,15.815066717756531,0.0009449859321615075,0.0009398910005984362
S04_concat_Mshell_delta,line_test_0003,line,19.68617233090641,20.969502388344196,0.04351962479532989,0.0009362950004287995
S05_concat_Mshell_delta_Pcyc,line_test_0003,line,59.67472191649578,16.153211033277394,0.0010548194955997828,0.0009359760006191209
S06_geometry_branch_bottleneck_concat,line_test_0003,line,16.07785684180395,21.84883369346577,0.05253842733048236,0.0015021930012153462
S07_generic_film_middeep,line_test_0003,line,14.225976926505837,22.3802942459386,0.026447592276038573,0.0017569989977346268
S08_rsbfilm_middeep_default,line_test_0003,line,13.901934477257432,22.480362700980745,0.02760426503826584,0.0018640400012372993
S01_ref3,point_cluster_test_0003,point_cluster,18.9885798124762,23.079165960302905,0.10246053228788736,0.0
S02_plain_residual_unet,point_cluster_test_0003,point_cluster,21.11459156272635,22.61826397742832,0.03979845942665814,0.0009972220032068435
S03_concat_Mshell,point_cluster_test_0003,point_cluster,108.47818707980456,15.510666795078729,0.0008504793115230775,0.0009406480021425523
S04_concat_Mshell_delta,point_cluster_test_0003,point_cluster,17.773892850825625,23.366265285399443,0.11130830625271262,0.0009419529997103382
S05_concat_Mshell_delta_Pcyc,point_cluster_test_0003,point_cluster,98.59142644804501,15.925699264558906,0.0008673400626748866,0.0009480560001975391
S06_geometry_branch_bottleneck_concat,point_cluster_test_0003,point_cluster,14.683558805550334,24.195777528109343,0.12486502211307918,0.001383691000228282
S07_generic_film_middeep,point_cluster_test_0003,point_cluster,14.746982050944869,24.17705930992003,0.04562430416472095,0.00175168100031442
S08_rsbfilm_middeep_default,point_cluster_test_0003,point_cluster,14.403853647833426,24.2793038748145,0.04763044087950791,0.0018625379998411518
S01_ref3,small_rect_edge_test_0003,small_rect_edge,9.547541992756518,20.71026289060194,0.05477431927618206,0.0
S02_plain_residual_unet,small_rect_edge_test_0003,small_rect_edge,10.317377484375744,20.373485335712456,0.029253313473008462,0.0009665069992479403
S03_concat_Mshell,small_rect_edge_test_0003,small_rect_edge,27.797109278049497,16.069182200490573,0.001334800171601187,0.0009344520003651269
S04_concat_Mshell_delta,small_rect_edge_test_0003,small_rect_edge,9.173275614250906,20.883934336388105,0.05807952140793911,0.0009387210011482239
S05_concat_Mshell_delta_Pcyc,small_rect_edge_test_0003,small_rect_edge,25.6957855441542,16.410559645271654,0.001538827428257858,0.0009439800014661159
S06_geometry_branch_bottleneck_concat,small_rect_edge_test_0003,small_rect_edge,7.427953098488008,21.800486948781128,0.06972587040293371,0.001392002999637043
S07_generic_film_middeep,small_rect_edge_test_0003,small_rect_edge,6.74436175492306,22.219770149230385,0.03773152482497572,0.0018506920023355633
S08_rsbfilm_middeep_default,small_rect_edge_test_0003,small_rect_edge,6.609744159611422,22.30733189338773,0.03904801242312187,0.0018700719992921222
